project_id,project_acronym,project_title,participant_name,participant_short_name,pic,country,country_code,org_type,is_coordinator,eu_contribution
101083932,CIH,"Cybersecurity Innovation Hub","VYSOKE UCENI TECHNICKE V BRNE",,999873091,Czechia,CZ,university,no,199448
101083932,CIH,"Cybersecurity Innovation Hub","TECHNOLOGICKE CENTRUM PRAHA ZSPO",,999506334,Czechia,CZ,research_institution,no,35624
101083932,CIH,"Cybersecurity Innovation Hub","REGIONALNI HOSPODARSKA KOMORA BRNO",,999777546,Czechia,CZ,other,no,169550
101083932,CIH,"Cybersecurity Innovation Hub","NETWORK SECURITY MONITORING CLUSTERDRUZSTVO",,962586485,Czechia,CZ,company,no,61204
101083932,CIH,"Cybersecurity Innovation Hub","INDUSTRY CLUSTER 4 0 ZS",,907779060,Czechia,CZ,other,no,98400
101083932,CIH,"Cybersecurity Innovation Hub",CZECHINNO,,898867767,Czechia,CZ,other,no,183691
101249732,CIPHER,"Cybersecurity Intelligence, Protection, and Holist","EVIDEN TECHNOLOGIES SRL",,893414621,Romania,RO,company,yes,1122965
101249732,CIPHER,"Cybersecurity Intelligence, Protection, and Holist","FUNDACIO PRIVADA I2CAT, INTERNET I INNOVACIO DIGITAL A CATALUNYA",,999583061,Spain,ES,research_institution,no,273171
101249732,CIPHER,"Cybersecurity Intelligence, Protection, and Holist","EREVNITIKO PANEPISTIMIAKO INSTITOUTO SYSTIMATON EPIKOINONION KAI YPOLOGISTON",,999654356,Greece,GR,research_institution,no,486850
101249732,CIPHER,"Cybersecurity Intelligence, Protection, and Holist","AQUATIM SA",,955532451,Romania,RO,company,no,118984
101249732,CIPHER,"Cybersecurity Intelligence, Protection, and Holist","CONNECTING DOTS IPIRESIES PLIROFORIKIS IDIOTIKI KEFALAIOUCHIKI ETAIRIA",,906326194,Greece,GR,company,no,736053
101249732,CIPHER,"Cybersecurity Intelligence, Protection, and Holist","LOGIKA APOTHIKEFSEIS EMPOREVMATON MONOPROSOPI ETAIREIA PERIORISMENIS EYTHINIS",,919352712,Greece,GR,company,no,118556
101249732,CIPHER,"Cybersecurity Intelligence, Protection, and Holist",K3Y,,905140563,Bulgaria,BG,sme,no,230050
101249732,CIPHER,"Cybersecurity Intelligence, Protection, and Holist","TEMERON SRL",,876972830,Romania,RO,company,no,240750
101249732,CIPHER,"Cybersecurity Intelligence, Protection, and Holist","TECHNISCHE UNIVERSITEIT DELFT",,999977366,Netherlands,NL,university,no,375343.16
101249732,CIPHER,"Cybersecurity Intelligence, Protection, and Holist","ORGANISMOS TILEPIKOINONION TIS ELLADOS OTE AE",,999792581,Greece,GR,company,no,251450
101249732,CIPHER,"Cybersecurity Intelligence, Protection, and Holist","F6S NETWORK IRELAND LIMITED",,900885658,Ireland,IE,sme,no,4679332.5
101121325,CO-SECUR,"Knowledge building and social innovation for","SENIOR EUROPA SOCIEDAD LIMITADA",,955078394,Spain,ES,company,yes,420875
101121325,CO-SECUR,"Knowledge building and social innovation for","UNIVERSITAT DE VALENCIA",,999953019,Spain,ES,university,no,276342.5
101121325,CO-SECUR,"Knowledge building and social innovation for","SAFERGLOBE RY",,937633526,Finland,FI,other,no,116052.5
101121325,CO-SECUR,"Knowledge building and social innovation for","DEUTSCH-EUROPAISCHES FORUM FUR URBANE SICHERHEIT EV",,937469402,Germany,DE,other,no,217000
101121325,CO-SECUR,"Knowledge building and social innovation for","SHINE 2EUROPE LDA",,896845026,Portugal,PT,sme,no,254000
101121325,CO-SECUR,"Knowledge building and social innovation for","EUROPEAN INTEGRATED PROJECT",,986593888,Romania,RO,company,no,98500
101121325,CO-SECUR,"Knowledge building and social innovation for","EVALU SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA",,896384373,Poland,PL,sme,no,120875
101121325,CO-SECUR,"Knowledge building and social innovation for","TERO MONOPROSOPI IKE",,998841593,Greece,GR,company,no,126875
101121325,CO-SECUR,"Knowledge building and social innovation for","SMART CONTINENT MANAGEMENT INSTITUTE UAB",,986357111,Lithuania,LT,company,no,94625
